visit_id,job_id,occurrence_id,line_code,sector_id,service_date,visit_seq,status,locked,actual
RM:SEC:ALP:S01_S02:2026-05-04:VISIT:1,RM:SEC:ALP:S01_S02:2026-05-04,OCC:SEC:ALP:S01_S02:2026-05-04,ALP,SEC:ALP:S01_S02,2026-05-04,1,historical,True,True
RM:SEC:ALP:S01_S02:2026-05-04:VISIT:2,RM:SEC:ALP:S01_S02:2026-05-04,OCC:SEC:ALP:S01_S02:2026-05-04,ALP,SEC:ALP:S01_S02,2026-05-06,2,historical,True,True
RM:SEC:ALP:S01_S02:2026-05-04:VISIT:3,RM:SEC:ALP:S01_S02:2026-05-04,OCC:SEC:ALP:S01_S02:2026-05-04,ALP,SEC:ALP:S01_S02,2026-05-08,3,historical,True,True
RM:SEC:ALP:S01_S02:2027-01-04:VISIT:1,RM:SEC:ALP:S01_S02:2027-01-04,OCC:SEC:ALP:S01_S02:2027-01-04,ALP,SEC:ALP:S01_S02,2027-01-04,1,scheduled,False,False
RM:SEC:ALP:S01_S02:2027-01-04:VISIT:2,RM:SEC:ALP:S01_S02:2027-01-04,OCC:SEC:ALP:S01_S02:2027-01-04,ALP,SEC:ALP:S01_S02,2027-01-06,2,scheduled,False,False
RM:SEC:ALP:S01_S02:2027-01-04:VISIT:3,RM:SEC:ALP:S01_S02:2027-01-04,OCC:SEC:ALP:S01_S02:2027-01-04,ALP,SEC:ALP:S01_S02,2027-01-08,3,scheduled,False,False
RM:SEC:ALP:S01_S02:2027-09-06:VISIT:1,RM:SEC:ALP:S01_S02:2027-09-06,OCC:SEC:ALP:S01_S02:2027-09-06,ALP,SEC:ALP:S01_S02,2027-09-06,1,scheduled,False,False
RM:SEC:ALP:S01_S02:2027-09-06:VISIT:2,RM:SEC:ALP:S01_S02:2027-09-06,OCC:SEC:ALP:S01_S02:2027-09-06,ALP,SEC:ALP:S01_S02,2027-09-08,2,scheduled,False,False
RM:SEC:ALP:S01_S02:2027-09-06:VISIT:3,RM:SEC:ALP:S01_S02:2027-09-06,OCC:SEC:ALP:S01_S02:2027-09-06,ALP,SEC:ALP:S01_S02,2027-09-10,3,scheduled,False,False
RM:SEC:ALP:S01_S02:2028-05-08:VISIT:1,RM:SEC:ALP:S01_S02:2028-05-08,OCC:SEC:ALP:S01_S02:2028-05-08,ALP,SEC:ALP:S01_S02,2028-05-08,1,committed,True,False
RM:SEC:ALP:S01_S02:2028-05-08:VISIT:2,RM:SEC:ALP:S01_S02:2028-05-08,OCC:SEC:ALP:S01_S02:2028-05-08,ALP,SEC:ALP:S01_S02,2028-05-10,2,committed,True,False
RM:SEC:ALP:S01_S02:2028-05-08:VISIT:3,RM:SEC:ALP:S01_S02:2028-05-08,OCC:SEC:ALP:S01_S02:2028-05-08,ALP,SEC:ALP:S01_S02,2028-05-12,3,committed,True,False
RM:SEC:ALP:S02_S03:2026-05-14:VISIT:1,RM:SEC:ALP:S02_S03:2026-05-14,OCC:SEC:ALP:S02_S03:2026-05-14,ALP,SEC:ALP:S02_S03,2026-05-14,1,historical,True,True
RM:SEC:ALP:S02_S03:2026-05-14:VISIT:2,RM:SEC:ALP:S02_S03:2026-05-14,OCC:SEC:ALP:S02_S03:2026-05-14,ALP,SEC:ALP:S02_S03,2026-05-16,2,historical,True,True
