job_id,occurrence_id,job_type,line_code,sector_id,required_visits,cycle_days,coverage_interval_days,occurrence_anchor,source
RM:SEC:ALP:S01_S02:2026-05-04,OCC:SEC:ALP:S01_S02:2026-05-04,maintenance,ALP,SEC:ALP:S01_S02,3,245,364,2026-05-04,generated
RM:SEC:ALP:S01_S02:2027-01-04,OCC:SEC:ALP:S01_S02:2027-01-04,maintenance,ALP,SEC:ALP:S01_S02,3,245,364,2027-01-04,generated
RM:SEC:ALP:S01_S02:2027-09-06,OCC:SEC:ALP:S01_S02:2027-09-06,maintenance,ALP,SEC:ALP:S01_S02,3,245,364,2027-09-06,generated
RM:SEC:ALP:S01_S02:2028-05-08,OCC:SEC:ALP:S01_S02:2028-05-08,maintenance,ALP,SEC:ALP:S01_S02,3,245,364,2028-05-08,generated
RM:SEC:ALP:S02_S03:2026-05-14,OCC:SEC:ALP:S02_S03:2026-05-14,maintenance,ALP,SEC:ALP:S02_S03,3,245,364,2026-05-14,generated
RM:SEC:ALP:S02_S03:2027-01-14,OCC:SEC:ALP:S02_S03:2027-01-14,maintenance,ALP,SEC:ALP:S02_S03,3,245,364,2027-01-14,generated
RM:SEC:ALP:S02_S03:2027-09-16,OCC:SEC:ALP:S02_S03:2027-09-16,maintenance,ALP,SEC:ALP:S02_S03,3,245,364,2027-09-16,generated
RM:SEC:ALP:S02_S03:2028-05-18,OCC:SEC:ALP:S02_S03:2028-05-18,maintenance,ALP,SEC:ALP:S02_S03,3,245,364,2028-05-18,generated
RM:SEC:ALP:S03_S04:2026-05-24,OCC:SEC:ALP:S03_S04:2026-05-24,maintenance,ALP,SEC:ALP:S03_S04,3,245,364,2026-05-24,generated
RM:SEC:ALP:S03_S04:2027-01-24,OCC:SEC:ALP:S03_S04:2027-01-24,maintenance,ALP,SEC:ALP:S03_S04,3,245,364,2027-01-24,generated
RM:SEC:ALP:S03_S04:2027-09-26,OCC:SEC:ALP:S03_S04:2027-09-26,maintenance,ALP,SEC:ALP:S03_S04,3,245,364,2027-09-26,generated
RM:SEC:ALP:S03_S04:2028-05-28,OCC:SEC:ALP:S03_S04:2028-05-28,maintenance,ALP,SEC:ALP:S03_S04,3,245,364,2028-05-28,generated
RM:SEC:ALP:S04_H01:2026-06-03,OCC:SEC:ALP:S04_H01:2026-06-03,maintenance,ALP,SEC:ALP:S04_H01,3,245,364,2026-06-03,generated
RM:SEC:ALP:S04_H01:2027-02-03,OCC:SEC:ALP:S04_H01:2027-02-03,maintenance,ALP,SEC:ALP:S04_H01,3,245,364,2027-02-03,generated
RM:SEC:ALP:S04_H01:2027-10-06,OCC:SEC:ALP:S04_H01:2027-10-06,maintenance,ALP,SEC:ALP:S04_H01,3,245,364,2027-10-06,generated
RM:SEC:ALP:S04_H01:2028-06-07,OCC:SEC:ALP:S04_H01:2028-06-07,maintenance,ALP,SEC:ALP:S04_H01,3,245,364,2028-06-07,generated
RM:SEC:ALP:H01_H02:2026-06-13,OCC:SEC:ALP:H01_H02:2026-06-13,maintenance,ALP,SEC:ALP:H01_H02,3,245,364,2026-06-13,generated
RM:SEC:ALP:H01_H02:2027-02-13,OCC:SEC:ALP:H01_H02:2027-02-13,maintenance,ALP,SEC:ALP:H01_H02,3,245,364,2027-02-13,generated
RM:SEC:ALP:H01_H02:2027-10-16,OCC:SEC:ALP:H01_H02:2027-10-16,maintenance,ALP,SEC:ALP:H01_H02,3,245,364,2027-10-16,generated
RM:SEC:ALP:H01_H02:2028-06-17,OCC:SEC:ALP:H01_H02:2028-06-17,maintenance,ALP,SEC:ALP:H01_H02,3,245,364,2028-06-17,generated
RM:SEC:ALP:H02_S05:2026-06-23,OCC:SEC:ALP:H02_S05:2026-06-23,maintenance,ALP,SEC:ALP:H02_S05,3,245,364,2026-06-23,generated
RM:SEC:ALP:H02_S05:2027-02-23,OCC:SEC:ALP:H02_S05:2027-02-23,maintenance,ALP,SEC:ALP:H02_S05,3,245,364,2027-02-23,generated
RM:SEC:ALP:H02_S05:2027-10-26,OCC:SEC:ALP:H02_S05:2027-10-26,maintenance,ALP,SEC:ALP:H02_S05,3,245,364,2027-10-26,generated
RM:SEC:ALP:H02_S05:2028-06-27,OCC:SEC:ALP:H02_S05:2028-06-27,maintenance,ALP,SEC:ALP:H02_S05,3,245,364,2028-06-27,generated
RM:SEC:ALP:S05_S06:2026-07-03,OCC:SEC:ALP:S05_S06:2026-07-03,maintenance,ALP,SEC:ALP:S05_S06,3,245,364,2026-07-03,generated
RM:SEC:ALP:S05_S06:2027-03-05,OCC:SEC:ALP:S05_S06:2027-03-05,maintenance,ALP,SEC:ALP:S05_S06,3,245,364,2027-03-05,generated
RM:SEC:ALP:S05_S06:2027-11-05,OCC:SEC:ALP:S05_S06:2027-11-05,maintenance,ALP,SEC:ALP:S05_S06,3,245,364,2027-11-05,generated
RM:SEC:ALP:S05_S06:2028-07-07,OCC:SEC:ALP:S05_S06:2028-07-07,maintenance,ALP,SEC:ALP:S05_S06,3,245,364,2028-07-07,generated
RM:SEC:ALP:S06_S07:2026-07-13,OCC:SEC:ALP:S06_S07:2026-07-13,maintenance,ALP,SEC:ALP:S06_S07,3,245,364,2026-07-13,generated
RM:SEC:ALP:S06_S07:2027-03-15,OCC:SEC:ALP:S06_S07:2027-03-15,maintenance,ALP,SEC:ALP:S06_S07,3,245,364,2027-03-15,generated
RM:SEC:ALP:S06_S07:2027-11-15,OCC:SEC:ALP:S06_S07:2027-11-15,maintenance,ALP,SEC:ALP:S06_S07,3,245,364,2027-11-15,generated
RM:SEC:ALP:S06_S07:2028-07-17,OCC:SEC:ALP:S06_S07:2028-07-17,maintenance,ALP,SEC:ALP:S06_S07,3,245,364,2028-07-17,generated
RM:SEC:ALP:S07_S08:2026-07-23,OCC:SEC:ALP:S07_S08:2026-07-23,maintenance,ALP,SEC:ALP:S07_S08,3,245,364,2026-07-23,generated
RM:SEC:ALP:S07_S08:2027-03-25,OCC:SEC:ALP:S07_S08:2027-03-25,maintenance,ALP,SEC:ALP:S07_S08,3,245,364,2027-03-25,generated
RM:SEC:ALP:S07_S08:2027-11-25,OCC:SEC:ALP:S07_S08:2027-11-25,maintenance,ALP,SEC:ALP:S07_S08,3,245,364,2027-11-25,generated
RM:SEC:ALP:S07_S08:2028-07-27,OCC:SEC:ALP:S07_S08:2028-07-27,maintenance,ALP,SEC:ALP:S07_S08,3,245,364,2028-07-27,generated
RM:SEC:BET:S11_S12:2026-08-02,OCC:SEC:BET:S11_S12:2026-08-02,maintenance,BET,SEC:BET:S11_S12,3,245,364,2026-08-02,generated
RM:SEC:BET:S11_S12:2027-04-04,OCC:SEC:BET:S11_S12:2027-04-04,maintenance,BET,SEC:BET:S11_S12,3,245,364,2027-04-04,generated
RM:SEC:BET:S11_S12:2027-12-05,OCC:SEC:BET:S11_S12:2027-12-05,maintenance,BET,SEC:BET:S11_S12,3,245,364,2027-12-05,generated
RM:SEC:BET:S11_S12:2028-08-06,OCC:SEC:BET:S11_S12:2028-08-06,maintenance,BET,SEC:BET:S11_S12,3,245,364,2028-08-06,generated
RM:SEC:BET:S12_S13:2026-08-12,OCC:SEC:BET:S12_S13:2026-08-12,maintenance,BET,SEC:BET:S12_S13,3,245,364,2026-08-12,generated
RM:SEC:BET:S12_S13:2027-04-14,OCC:SEC:BET:S12_S13:2027-04-14,maintenance,BET,SEC:BET:S12_S13,3,245,364,2027-04-14,generated
RM:SEC:BET:S12_S13:2027-12-15,OCC:SEC:BET:S12_S13:2027-12-15,maintenance,BET,SEC:BET:S12_S13,3,245,364,2027-12-15,generated
RM:SEC:BET:S12_S13:2028-08-16,OCC:SEC:BET:S12_S13:2028-08-16,maintenance,BET,SEC:BET:S12_S13,3,245,364,2028-08-16,generated
RM:SEC:BET:S13_S14:2026-08-22,OCC:SEC:BET:S13_S14:2026-08-22,maintenance,BET,SEC:BET:S13_S14,3,245,364,2026-08-22,generated
RM:SEC:BET:S13_S14:2027-04-24,OCC:SEC:BET:S13_S14:2027-04-24,maintenance,BET,SEC:BET:S13_S14,3,245,364,2027-04-24,generated
RM:SEC:BET:S13_S14:2027-12-25,OCC:SEC:BET:S13_S14:2027-12-25,maintenance,BET,SEC:BET:S13_S14,3,245,364,2027-12-25,generated
RM:SEC:BET:S13_S14:2028-08-26,OCC:SEC:BET:S13_S14:2028-08-26,maintenance,BET,SEC:BET:S13_S14,3,245,364,2028-08-26,generated
RM:SEC:BET:S14_H01:2026-09-01,OCC:SEC:BET:S14_H01:2026-09-01,maintenance,BET,SEC:BET:S14_H01,3,245,364,2026-09-01,generated
RM:SEC:BET:S14_H01:2027-05-04,OCC:SEC:BET:S14_H01:2027-05-04,maintenance,BET,SEC:BET:S14_H01,3,245,364,2027-05-04,generated
RM:SEC:BET:S14_H01:2028-01-04,OCC:SEC:BET:S14_H01:2028-01-04,maintenance,BET,SEC:BET:S14_H01,3,245,364,2028-01-04,generated
RM:SEC:BET:H01_H02:2026-09-11,OCC:SEC:BET:H01_H02:2026-09-11,maintenance,BET,SEC:BET:H01_H02,3,245,364,2026-09-11,generated
RM:SEC:BET:H01_H02:2027-05-14,OCC:SEC:BET:H01_H02:2027-05-14,maintenance,BET,SEC:BET:H01_H02,3,245,364,2027-05-14,generated
RM:SEC:BET:H01_H02:2028-01-14,OCC:SEC:BET:H01_H02:2028-01-14,maintenance,BET,SEC:BET:H01_H02,3,245,364,2028-01-14,generated
RM:SEC:BET:H02_S15:2026-09-21,OCC:SEC:BET:H02_S15:2026-09-21,maintenance,BET,SEC:BET:H02_S15,3,245,364,2026-09-21,generated
RM:SEC:BET:H02_S15:2027-05-24,OCC:SEC:BET:H02_S15:2027-05-24,maintenance,BET,SEC:BET:H02_S15,3,245,364,2027-05-24,generated
RM:SEC:BET:H02_S15:2028-01-24,OCC:SEC:BET:H02_S15:2028-01-24,maintenance,BET,SEC:BET:H02_S15,3,245,364,2028-01-24,generated
RM:SEC:BET:S15_S16:2026-10-01,OCC:SEC:BET:S15_S16:2026-10-01,maintenance,BET,SEC:BET:S15_S16,3,245,364,2026-10-01,generated
RM:SEC:BET:S15_S16:2027-06-03,OCC:SEC:BET:S15_S16:2027-06-03,maintenance,BET,SEC:BET:S15_S16,3,245,364,2027-06-03,generated
RM:SEC:BET:S15_S16:2028-02-03,OCC:SEC:BET:S15_S16:2028-02-03,maintenance,BET,SEC:BET:S15_S16,3,245,364,2028-02-03,generated
RM:SEC:BET:S16_S17:2026-10-11,OCC:SEC:BET:S16_S17:2026-10-11,maintenance,BET,SEC:BET:S16_S17,3,245,364,2026-10-11,generated
RM:SEC:BET:S16_S17:2027-06-13,OCC:SEC:BET:S16_S17:2027-06-13,maintenance,BET,SEC:BET:S16_S17,3,245,364,2027-06-13,generated
RM:SEC:BET:S16_S17:2028-02-13,OCC:SEC:BET:S16_S17:2028-02-13,maintenance,BET,SEC:BET:S16_S17,3,245,364,2028-02-13,generated
RM:SEC:BET:S17_S18:2026-10-21,OCC:SEC:BET:S17_S18:2026-10-21,maintenance,BET,SEC:BET:S17_S18,3,245,364,2026-10-21,generated
RM:SEC:BET:S17_S18:2027-06-23,OCC:SEC:BET:S17_S18:2027-06-23,maintenance,BET,SEC:BET:S17_S18,3,245,364,2027-06-23,generated
RM:SEC:BET:S17_S18:2028-02-23,OCC:SEC:BET:S17_S18:2028-02-23,maintenance,BET,SEC:BET:S17_S18,3,245,364,2028-02-23,generated
