service_date,global_night_id,timezone,eligible,physical_available,eclo_eligible,gross_capacity,nominal_weekly_limit,calendar_revision
2026-05-04,synthetic-calendar-v1:2026-05-04,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-05,synthetic-calendar-v1:2026-05-05,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-06,synthetic-calendar-v1:2026-05-06,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-07,synthetic-calendar-v1:2026-05-07,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-08,synthetic-calendar-v1:2026-05-08,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-09,synthetic-calendar-v1:2026-05-09,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-10,synthetic-calendar-v1:2026-05-10,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-11,synthetic-calendar-v1:2026-05-11,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-12,synthetic-calendar-v1:2026-05-12,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-13,synthetic-calendar-v1:2026-05-13,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-14,synthetic-calendar-v1:2026-05-14,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-15,synthetic-calendar-v1:2026-05-15,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-16,synthetic-calendar-v1:2026-05-16,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-17,synthetic-calendar-v1:2026-05-17,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-18,synthetic-calendar-v1:2026-05-18,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-19,synthetic-calendar-v1:2026-05-19,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-20,synthetic-calendar-v1:2026-05-20,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-21,synthetic-calendar-v1:2026-05-21,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-22,synthetic-calendar-v1:2026-05-22,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-23,synthetic-calendar-v1:2026-05-23,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-24,synthetic-calendar-v1:2026-05-24,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-25,synthetic-calendar-v1:2026-05-25,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-26,synthetic-calendar-v1:2026-05-26,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
2026-05-27,synthetic-calendar-v1:2026-05-27,Asia/Singapore,True,True,True,24,3,synthetic-calendar-v1
