activity_id,access_seq,week,eclo,access_night
A001,1,21,0,1
A001,2,23,0,3
A002,1,6,0,1
A006,1,11,0,2
A006,2,17,0,3
A008,1,16,0,3
A008,2,17,0,3
A008,3,19,0,1
A008,4,22,0,2
A008,5,25,0,2
A009,1,2,0,3
A009,2,4,0,2
A009,3,5,0,2
A009,4,6,0,3
A009,5,11,0,3
A009,6,20,0,3
A009,7,21,0,3
A014,1,13,0,2
A014,2,16,0,3
A014,3,17,0,1
A014,4,23,0,2
A014,5,24,0,1
A014,6,25,0,3
A014,7,26,0,2
A019,1,16,0,1
A019,2,17,0,3
A020,1,16,0,2
A020,2,24,0,2
A021,1,9,0,2
A021,2,10,0,1
A021,3,11,0,1
A025,1,8,0,2
A025,2,15,0,3
A025,3,16,0,3
A025,4,17,0,3
A025,5,19,0,3
A025,6,26,0,3
A025,7,27,0,3
A028,1,9,0,1
A028,2,11,0,1
A031,1,8,0,1
A031,2,9,0,1
A035,1,19,0,3
A035,2,23,0,1
A035,3,24,0,3
A036,1,22,1,1
A036,2,23,1,3
A036,3,24,1,1
A036,4,25,1,2
A036,5,26,0,1
A037,1,12,0,2
A037,2,14,0,1
A038,1,17,0,2
A038,2,19,0,1
A038,3,20,0,3
A039,1,12,0,3
A039,2,13,0,3
A039,3,14,0,3
A039,4,16,0,3
A039,5,17,0,3
A039,6,18,0,3
A039,7,19,0,2
A047,1,17,0,2
A047,2,23,0,1
A048,1,5,0,3
A048,2,11,0,3
A048,3,12,0,3
A049,1,13,0,3
A049,2,15,0,3
A049,3,17,0,1
A049,4,18,0,2
A049,5,22,0,3
A051,1,26,0,2
A051,2,27,0,2
A055,1,20,0,3
A056,1,21,0,3
A056,2,23,0,1
A059,1,14,0,1
A059,2,15,0,1
A059,3,16,0,1
A059,4,17,1,2
A059,5,18,0,3
A059,6,19,1,2
A060,1,16,0,1
A060,2,18,0,2
A060,3,19,0,1
A061,1,4,0,1
A061,2,11,0,1
A061,3,12,0,3
A061,4,13,0,3
A061,5,14,0,1
A061,6,15,0,3
A061,7,17,0,3
A063,1,16,0,2
A064,1,16,0,3
A065,1,21,0,3
A066,1,27,0,3
A069,1,10,0,3
A069,2,12,0,2
A071,1,25,0,2
A072,1,24,0,3
A073,1,26,0,3
A074,1,21,0,1
A075,1,28,0,1
