activity_id,week,location_id,co_share_group
A001,21,SEC:BET:S15_S16:EB,g4
A001,21,SEC:BET:S16_S17:EB,g1
A001,21,PLAT:BET:S15:EB,g1
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g2
A001,23,PLAT:BET:S17:EB,g1
A002,6,SEC:BET:S11_S12:WB,g1
A002,6,SEC:BET:S12_S13:WB,g1
A002,6,PLAT:BET:S11:WB,g1
A002,6,PLAT:BET:S12:WB,g1
A002,6,PLAT:BET:S13:WB,g1
A006,11,SEC:ALP:S03_S04:WB,g1
A006,11,SEC:ALP:S04_H01:WB,g1
A006,11,SEC:ALP:H01_H02:WB,g1
A006,11,PLAT:ALP:S03:WB,g1
A006,11,PLAT:ALP:S04:WB,g2
A006,11,PLAT:ALP:H01:WB,g1
A006,11,PLAT:ALP:H02:WB,g1
A006,17,SEC:ALP:S03_S04:WB,g1
A006,17,SEC:ALP:S04_H01:WB,g1
A006,17,SEC:ALP:H01_H02:WB,g1
A006,17,PLAT:ALP:S03:WB,g2
A006,17,PLAT:ALP:S04:WB,g2
A006,17,PLAT:ALP:H01:WB,g1
A006,17,PLAT:ALP:H02:WB,g1
A008,16,SEC:BET:S17_S18:EB,g1
A008,16,PLAT:BET:S17:EB,g1
A008,16,PLAT:BET:S18:EB,g1
A008,17,SEC:BET:S17_S18:EB,g1
A008,17,PLAT:BET:S17:EB,g2
A008,17,PLAT:BET:S18:EB,g1
A008,19,SEC:BET:S17_S18:EB,g1
A008,19,PLAT:BET:S17:EB,g2
A008,19,PLAT:BET:S18:EB,g1
A008,22,SEC:BET:S17_S18:EB,g1
A008,22,PLAT:BET:S17:EB,g2
A008,22,PLAT:BET:S18:EB,g1
A008,25,SEC:BET:S17_S18:EB,g1
A008,25,PLAT:BET:S17:EB,g2
A008,25,PLAT:BET:S18:EB,g1
A009,2,SEC:ALP:S05_S06:EB,g1
A009,2,PLAT:ALP:S05:EB,g1
A009,2,PLAT:ALP:S06:EB,g1
A009,4,SEC:ALP:S05_S06:EB,g1
A009,4,PLAT:ALP:S05:EB,g1
A009,4,PLAT:ALP:S06:EB,g1
A009,5,SEC:ALP:S05_S06:EB,g1
A009,5,PLAT:ALP:S05:EB,g1
A009,5,PLAT:ALP:S06:EB,g1
A009,6,SEC:ALP:S05_S06:EB,g1
A009,6,PLAT:ALP:S05:EB,g1
A009,6,PLAT:ALP:S06:EB,g1
A009,11,SEC:ALP:S05_S06:EB,g1
A009,11,PLAT:ALP:S05:EB,g1
A009,11,PLAT:ALP:S06:EB,g1
A009,20,SEC:ALP:S05_S06:EB,g1
A009,20,PLAT:ALP:S05:EB,g1
A009,20,PLAT:ALP:S06:EB,g1
A009,21,SEC:ALP:S05_S06:EB,g1
A009,21,PLAT:ALP:S05:EB,g1
A009,21,PLAT:ALP:S06:EB,g1
A014,13,SEC:ALP:S07_S08:EB,g1
A014,13,PLAT:ALP:S07:EB,g1
A014,13,PLAT:ALP:S08:EB,g1
A014,16,SEC:ALP:S07_S08:EB,g1
A014,16,PLAT:ALP:S07:EB,g1
A014,16,PLAT:ALP:S08:EB,g1
A014,17,SEC:ALP:S07_S08:EB,g1
A014,17,PLAT:ALP:S07:EB,g1
A014,17,PLAT:ALP:S08:EB,g1
A014,23,SEC:ALP:S07_S08:EB,g1
A014,23,PLAT:ALP:S07:EB,g1
A014,23,PLAT:ALP:S08:EB,g1
A014,24,SEC:ALP:S07_S08:EB,g1
A014,24,PLAT:ALP:S07:EB,g1
A014,24,PLAT:ALP:S08:EB,g1
A014,25,SEC:ALP:S07_S08:EB,g1
A014,25,PLAT:ALP:S07:EB,g1
A014,25,PLAT:ALP:S08:EB,g1
A014,26,SEC:ALP:S07_S08:EB,g1
A014,26,PLAT:ALP:S07:EB,g1
A014,26,PLAT:ALP:S08:EB,g1
A019,16,SEC:BET:S16_S17:EB,g1
A019,16,PLAT:BET:S16:EB,g1
A019,16,PLAT:BET:S17:EB,g2
A019,17,SEC:BET:S16_S17:EB,g1
A019,17,PLAT:BET:S16:EB,g1
A019,17,PLAT:BET:S17:EB,g1
A020,16,SEC:ALP:S04_H01:WB,g1
A020,16,SEC:ALP:H01_H02:WB,g1
A020,16,SEC:ALP:H02_S05:WB,g1
A020,16,PLAT:ALP:S04:WB,g2
A020,16,PLAT:ALP:H01:WB,g1
A020,16,PLAT:ALP:H02:WB,g1
A020,16,PLAT:ALP:S05:WB,g1
A020,24,SEC:ALP:S04_H01:WB,g1
A020,24,SEC:ALP:H01_H02:WB,g1
A020,24,SEC:ALP:H02_S05:WB,g1
A020,24,PLAT:ALP:S04:WB,g2
A020,24,PLAT:ALP:H01:WB,g1
A020,24,PLAT:ALP:H02:WB,g1
A020,24,PLAT:ALP:S05:WB,g2
A021,9,SEC:BET:S11_S12:WB,g1
A021,9,SEC:BET:S12_S13:WB,g1
A021,9,PLAT:BET:S11:WB,g1
A021,9,PLAT:BET:S12:WB,g1
A021,9,PLAT:BET:S13:WB,g1
A021,10,SEC:BET:S11_S12:WB,g1
A021,10,SEC:BET:S12_S13:WB,g1
A021,10,PLAT:BET:S11:WB,g1
A021,10,PLAT:BET:S12:WB,g1
A021,10,PLAT:BET:S13:WB,g1
A021,11,SEC:BET:S11_S12:WB,g1
A021,11,SEC:BET:S12_S13:WB,g1
A021,11,PLAT:BET:S11:WB,g1
