activity_id,week,location_id,co_share_group
A002,3,SEC:BET:S11_S12:WB,g1
A002,3,SEC:BET:S12_S13:WB,g1
A002,3,PLAT:BET:S11:WB,g1
A002,3,PLAT:BET:S12:WB,g1
A002,3,PLAT:BET:S13:WB,g1
A011,16,SEC:BET:S15_S16:EB,g2
A011,16,SEC:BET:S16_S17:EB,g1
A011,16,PLAT:BET:S15:EB,g2
A011,16,PLAT:BET:S16:EB,g2
A011,16,PLAT:BET:S17:EB,g1
A011,21,SEC:BET:S15_S16:EB,g2
A011,21,SEC:BET:S16_S17:EB,g1
A011,21,PLAT:BET:S15:EB,g2
A011,21,PLAT:BET:S16:EB,g2
A011,21,PLAT:BET:S17:EB,g1
A014,13,SEC:ALP:S07_S08:EB,g1
A014,13,PLAT:ALP:S07:EB,g1
A014,13,PLAT:ALP:S08:EB,g1
A014,14,SEC:ALP:S07_S08:EB,g1
A014,14,PLAT:ALP:S07:EB,g1
A014,14,PLAT:ALP:S08:EB,g1
A014,15,SEC:ALP:S07_S08:EB,g1
A014,15,PLAT:ALP:S07:EB,g1
A014,15,PLAT:ALP:S08:EB,g1
A014,16,SEC:ALP:S07_S08:EB,g1
A014,16,PLAT:ALP:S07:EB,g1
A014,16,PLAT:ALP:S08:EB,g1
A014,19,SEC:ALP:S07_S08:EB,g1
A014,19,PLAT:ALP:S07:EB,g1
A014,19,PLAT:ALP:S08:EB,g1
A014,20,SEC:ALP:S07_S08:EB,g1
A014,20,PLAT:ALP:S07:EB,g1
A014,20,PLAT:ALP:S08:EB,g1
A014,22,SEC:ALP:S07_S08:EB,g1
A014,22,PLAT:ALP:S07:EB,g1
A014,22,PLAT:ALP:S08:EB,g1
A025,8,SEC:ALP:S01_S02:EB,g1
A025,8,SEC:ALP:S02_S03:EB,g1
A025,8,PLAT:ALP:S01:EB,g1
A025,8,PLAT:ALP:S02:EB,g1
A025,8,PLAT:ALP:S03:EB,g1
A025,11,SEC:ALP:S01_S02:EB,g1
A025,11,SEC:ALP:S02_S03:EB,g1
A025,11,PLAT:ALP:S01:EB,g1
A025,11,PLAT:ALP:S02:EB,g1
A025,11,PLAT:ALP:S03:EB,g2
A025,14,SEC:ALP:S01_S02:EB,g1
A025,14,SEC:ALP:S02_S03:EB,g1
A025,14,PLAT:ALP:S01:EB,g1
A025,14,PLAT:ALP:S02:EB,g1
A025,14,PLAT:ALP:S03:EB,g1
A025,17,SEC:ALP:S01_S02:EB,g1
A025,17,SEC:ALP:S02_S03:EB,g1
A025,17,PLAT:ALP:S01:EB,g1
A025,17,PLAT:ALP:S02:EB,g1
A025,17,PLAT:ALP:S03:EB,g1
A025,19,SEC:ALP:S01_S02:EB,g1
A025,19,SEC:ALP:S02_S03:EB,g1
A025,19,PLAT:ALP:S01:EB,g1
A025,19,PLAT:ALP:S02:EB,g1
A025,19,PLAT:ALP:S03:EB,g1
A025,20,SEC:ALP:S01_S02:EB,g1
A025,20,SEC:ALP:S02_S03:EB,g1
A025,20,PLAT:ALP:S01:EB,g1
A025,20,PLAT:ALP:S02:EB,g1
A025,20,PLAT:ALP:S03:EB,g1
A025,21,SEC:ALP:S01_S02:EB,g1
A025,21,SEC:ALP:S02_S03:EB,g1
A025,21,PLAT:ALP:S01:EB,g1
A025,21,PLAT:ALP:S02:EB,g1
A025,21,PLAT:ALP:S03:EB,g1
A028,10,SEC:ALP:S03_S04:EB,g1
A028,10,SEC:ALP:S04_H01:EB,g1
A028,10,PLAT:ALP:S03:EB,g1
A028,10,PLAT:ALP:S04:EB,g1
A028,10,PLAT:ALP:H01:EB,g1
A028,11,SEC:ALP:S03_S04:EB,g1
A028,11,SEC:ALP:S04_H01:EB,g1
A028,11,PLAT:ALP:S03:EB,g1
A028,11,PLAT:ALP:S04:EB,g1
A028,11,PLAT:ALP:H01:EB,g1
A031,2,SEC:ALP:S06_S07:WB,g1
A031,2,SEC:ALP:S07_S08:WB,g1
A031,2,PLAT:ALP:S06:WB,g1
A031,2,PLAT:ALP:S07:WB,g1
A031,2,PLAT:ALP:S08:WB,g1
A031,9,SEC:ALP:S06_S07:WB,g1
A031,9,SEC:ALP:S07_S08:WB,g1
A031,9,PLAT:ALP:S06:WB,g1
A031,9,PLAT:ALP:S07:WB,g1
A031,9,PLAT:ALP:S08:WB,g1
A035,6,SEC:ALP:S02_S03:WB,g1
A035,6,SEC:ALP:S03_S04:WB,g1
A035,6,PLAT:ALP:S02:WB,g1
A035,6,PLAT:ALP:S03:WB,g1
A035,6,PLAT:ALP:S04:WB,g1
A035,22,SEC:ALP:S02_S03:WB,g1
A035,22,SEC:ALP:S03_S04:WB,g2
A035,22,PLAT:ALP:S02:WB,g1
A035,22,PLAT:ALP:S03:WB,g2
A035,22,PLAT:ALP:S04:WB,g1
A035,23,SEC:ALP:S02_S03:WB,g1
A035,23,SEC:ALP:S03_S04:WB,g1
A035,23,PLAT:ALP:S02:WB,g1
A035,23,PLAT:ALP:S03:WB,g1
A035,23,PLAT:ALP:S04:WB,g2
A036,22,SEC:BET:S14_H01:EB,g1
A036,22,PLAT:BET:S14:EB,g1
A036,22,PLAT:BET:H01:EB,g1
A036,23,SEC:BET:S14_H01:EB,g1
A036,23,PLAT:BET:S14:EB,g1
A036,23,PLAT:BET:H01:EB,g1
A036,24,SEC:BET:S14_H01:EB,g1
A036,24,PLAT:BET:S14:EB,g1
A036,24,PLAT:BET:H01:EB,g1
A036,25,SEC:BET:S14_H01:EB,g1
A036,25,PLAT:BET:S14:EB,g1
A036,25,PLAT:BET:H01:EB,g1
A036,26,SEC:BET:S14_H01:EB,g1
A036,26,PLAT:BET:S14:EB,g1
A036,26,PLAT:BET:H01:EB,g1
A036,27,SEC:BET:S14_H01:EB,g1
A036,27,PLAT:BET:S14:EB,g1
A036,27,PLAT:BET:H01:EB,g1
A036,28,SEC:BET:S14_H01:EB,g1
A036,28,PLAT:BET:S14:EB,g1
A036,28,PLAT:BET:H01:EB,g1
A037,17,SEC:BET:S15_S16:EB,g3
A037,17,SEC:BET:S16_S17:EB,g1
A037,17,PLAT:BET:S15:EB,g1
A037,17,PLAT:BET:S16:EB,g2
A037,17,PLAT:BET:S17:EB,g1
A037,20,SEC:BET:S15_S16:EB,g3
A037,20,SEC:BET:S16_S17:EB,g1
A037,20,PLAT:BET:S15:EB,g1
A037,20,PLAT:BET:S16:EB,g1
A037,20,PLAT:BET:S17:EB,g1
A038,24,SEC:BET:S17_S18:EB,g1
A038,24,PLAT:BET:S17:EB,g1
A038,24,PLAT:BET:S18:EB,g1
A038,25,SEC:BET:S17_S18:EB,g1
A038,25,PLAT:BET:S17:EB,g1
A038,25,PLAT:BET:S18:EB,g1
A038,26,SEC:BET:S17_S18:EB,g1
A038,26,PLAT:BET:S17:EB,g2
A038,26,PLAT:BET:S18:EB,g1
A039,8,SEC:BET:S11_S12:WB,g1
A039,8,SEC:BET:S12_S13:WB,g1
A039,8,SEC:BET:S13_S14:WB,g1
A039,8,PLAT:BET:S11:WB,g1
A039,8,PLAT:BET:S12:WB,g1
A039,8,PLAT:BET:S13:WB,g1
A039,8,PLAT:BET:S14:WB,g1
A039,9,SEC:BET:S11_S12:WB,g1
A039,9,SEC:BET:S12_S13:WB,g1
A039,9,SEC:BET:S13_S14:WB,g1
A039,9,PLAT:BET:S11:WB,g1
A039,9,PLAT:BET:S12:WB,g1
A039,9,PLAT:BET:S13:WB,g1
A039,9,PLAT:BET:S14:WB,g1
A039,11,SEC:BET:S11_S12:WB,g1
A039,11,SEC:BET:S12_S13:WB,g1
A039,11,SEC:BET:S13_S14:WB,g1
A039,11,PLAT:BET:S11:WB,g1
A039,11,PLAT:BET:S12:WB,g1
A039,11,PLAT:BET:S13:WB,g1
A039,11,PLAT:BET:S14:WB,g1
A039,12,SEC:BET:S11_S12:WB,g1
A039,12,SEC:BET:S12_S13:WB,g1
A039,12,SEC:BET:S13_S14:WB,g1
A039,12,PLAT:BET:S11:WB,g1
A039,12,PLAT:BET:S12:WB,g1
A039,12,PLAT:BET:S13:WB,g1
A039,12,PLAT:BET:S14:WB,g1
A039,23,SEC:BET:S11_S12:WB,g1
A039,23,SEC:BET:S12_S13:WB,g1
A039,23,SEC:BET:S13_S14:WB,g1
A039,23,PLAT:BET:S11:WB,g1
A039,23,PLAT:BET:S12:WB,g1
A039,23,PLAT:BET:S13:WB,g1
A039,23,PLAT:BET:S14:WB,g1
A039,24,SEC:BET:S11_S12:WB,g1
A039,24,SEC:BET:S12_S13:WB,g1
A039,24,SEC:BET:S13_S14:WB,g1
A039,24,PLAT:BET:S11:WB,g1
A039,24,PLAT:BET:S12:WB,g1
A039,24,PLAT:BET:S13:WB,g1
A039,24,PLAT:BET:S14:WB,g1
A039,26,SEC:BET:S11_S12:WB,g1
A039,26,SEC:BET:S12_S13:WB,g1
A039,26,SEC:BET:S13_S14:WB,g1
A039,26,PLAT:BET:S11:WB,g1
A039,26,PLAT:BET:S12:WB,g1
A039,26,PLAT:BET:S13:WB,g1
