activity_id,week,location_id,co_share_group
A001,21,SEC:BET:S15_S16:EB,g2
A001,21,SEC:BET:S16_S17:EB,g1
A001,21,PLAT:BET:S15:EB,g2
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g2
A001,22,SEC:BET:S15_S16:EB,g1
A001,22,SEC:BET:S16_S17:EB,g1
A001,22,PLAT:BET:S15:EB,g1
A001,22,PLAT:BET:S16:EB,g1
A001,22,PLAT:BET:S17:EB,g1
A002,7,SEC:BET:S11_S12:WB,g1
A002,7,SEC:BET:S12_S13:WB,g1
A002,7,PLAT:BET:S11:WB,g1
A002,7,PLAT:BET:S12:WB,g1
A002,7,PLAT:BET:S13:WB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g1
A003,11,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g2
A003,13,SEC:BET:S15_S16:EB,g2
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g1
A003,13,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g1
A003,14,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g1
A003,14,PLAT:BET:S16:EB,g1
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g2
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g2
A003,15,PLAT:BET:S16:EB,g1
A004,16,SEC:ALP:S03_S04:EB,g1
A004,16,SEC:ALP:S04_H01:EB,g1
A004,16,PLAT:ALP:S03:EB,g1
A004,16,PLAT:ALP:S04:EB,g1
A004,16,PLAT:ALP:H01:EB,g1
A004,17,SEC:ALP:S03_S04:EB,g1
A004,17,SEC:ALP:S04_H01:EB,g1
A004,17,PLAT:ALP:S03:EB,g1
A004,17,PLAT:ALP:S04:EB,g1
A004,17,PLAT:ALP:H01:EB,g1
A004,23,SEC:ALP:S03_S04:EB,g1
A004,23,SEC:ALP:S04_H01:EB,g1
A004,23,PLAT:ALP:S03:EB,g2
A004,23,PLAT:ALP:S04:EB,g1
A004,23,PLAT:ALP:H01:EB,g1
A006,10,SEC:ALP:S03_S04:WB,g1
A006,10,SEC:ALP:S04_H01:WB,g1
A006,10,SEC:ALP:H01_H02:WB,g1
A006,10,PLAT:ALP:S03:WB,g1
A006,10,PLAT:ALP:S04:WB,g1
A006,10,PLAT:ALP:H01:WB,g1
A006,10,PLAT:ALP:H02:WB,g1
A006,23,SEC:ALP:S03_S04:WB,g1
A006,23,SEC:ALP:S04_H01:WB,g2
A006,23,SEC:ALP:H01_H02:WB,g1
A006,23,PLAT:ALP:S03:WB,g2
A006,23,PLAT:ALP:S04:WB,g2
A006,23,PLAT:ALP:H01:WB,g1
A006,23,PLAT:ALP:H02:WB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,21,SEC:BET:H01_H02:EB,g1
A007,21,PLAT:BET:H01:EB,g1
A007,21,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A008,19,SEC:BET:S17_S18:EB,g1
A008,19,PLAT:BET:S17:EB,g1
A008,19,PLAT:BET:S18:EB,g1
A008,21,SEC:BET:S17_S18:EB,g1
A008,21,PLAT:BET:S17:EB,g2
A008,21,PLAT:BET:S18:EB,g1
A008,22,SEC:BET:S17_S18:EB,g1
A008,22,PLAT:BET:S17:EB,g1
A008,22,PLAT:BET:S18:EB,g1
A008,23,SEC:BET:S17_S18:EB,g1
A008,23,PLAT:BET:S17:EB,g1
A008,23,PLAT:BET:S18:EB,g1
A008,24,SEC:BET:S17_S18:EB,g1
A008,24,PLAT:BET:S17:EB,g1
A008,24,PLAT:BET:S18:EB,g1
A009,14,SEC:ALP:S05_S06:EB,g1
A009,14,PLAT:ALP:S05:EB,g1
A009,14,PLAT:ALP:S06:EB,g1
A009,15,SEC:ALP:S05_S06:EB,g1
A009,15,PLAT:ALP:S05:EB,g1
A009,15,PLAT:ALP:S06:EB,g1
A009,16,SEC:ALP:S05_S06:EB,g1
A009,16,PLAT:ALP:S05:EB,g1
A009,16,PLAT:ALP:S06:EB,g1
A009,19,SEC:ALP:S05_S06:EB,g1
A009,19,PLAT:ALP:S05:EB,g1
A009,19,PLAT:ALP:S06:EB,g1
A009,20,SEC:ALP:S05_S06:EB,g1
A009,20,PLAT:ALP:S05:EB,g1
A009,20,PLAT:ALP:S06:EB,g1
A009,22,SEC:ALP:S05_S06:EB,g1
A009,22,PLAT:ALP:S05:EB,g1
A009,22,PLAT:ALP:S06:EB,g1
A009,25,SEC:ALP:S05_S06:EB,g1
A009,25,PLAT:ALP:S05:EB,g1
A009,25,PLAT:ALP:S06:EB,g1
A011,16,SEC:BET:S15_S16:EB,g2
A011,16,SEC:BET:S16_S17:EB,g1
A011,16,PLAT:BET:S15:EB,g1
A011,16,PLAT:BET:S16:EB,g1
A011,16,PLAT:BET:S17:EB,g1
A011,17,SEC:BET:S15_S16:EB,g2
A011,17,SEC:BET:S16_S17:EB,g1
A011,17,PLAT:BET:S15:EB,g1
A011,17,PLAT:BET:S16:EB,g1
A011,17,PLAT:BET:S17:EB,g1
A012,3,SEC:BET:H01_H02:WB,g1
A012,3,SEC:BET:H02_S15:WB,g1
A012,3,PLAT:BET:H01:WB,g1
A012,3,PLAT:BET:H02:WB,g1
A012,3,PLAT:BET:S15:WB,g1
A012,5,SEC:BET:H01_H02:WB,g1
A012,5,SEC:BET:H02_S15:WB,g1
A012,5,PLAT:BET:H01:WB,g1
A012,5,PLAT:BET:H02:WB,g1
A012,5,PLAT:BET:S15:WB,g1
A012,6,SEC:BET:H01_H02:WB,g1
A012,6,SEC:BET:H02_S15:WB,g1
A012,6,PLAT:BET:H01:WB,g1
A012,6,PLAT:BET:H02:WB,g1
A012,6,PLAT:BET:S15:WB,g1
A012,8,SEC:BET:H01_H02:WB,g1
A012,8,SEC:BET:H02_S15:WB,g1
A012,8,PLAT:BET:H01:WB,g1
A012,8,PLAT:BET:H02:WB,g1
A012,8,PLAT:BET:S15:WB,g1
A012,9,SEC:BET:H01_H02:WB,g1
A012,9,SEC:BET:H02_S15:WB,g1
A012,9,PLAT:BET:H01:WB,g1
A012,9,PLAT:BET:H02:WB,g1
A012,9,PLAT:BET:S15:WB,g1
A012,10,SEC:BET:H01_H02:WB,g1
A012,10,SEC:BET:H02_S15:WB,g1
A012,10,PLAT:BET:H01:WB,g1
A012,10,PLAT:BET:H02:WB,g1
A012,10,PLAT:BET:S15:WB,g1
A012,20,SEC:BET:H01_H02:WB,g1
A012,20,SEC:BET:H02_S15:WB,g1
A012,20,PLAT:BET:H01:WB,g1
A012,20,PLAT:BET:H02:WB,g1
A012,20,PLAT:BET:S15:WB,g1
A013,21,SEC:ALP:S05_S06:WB,g1
A013,21,PLAT:ALP:S05:WB,g1
A013,21,PLAT:ALP:S06:WB,g1
A013,23,SEC:ALP:S05_S06:WB,g1
A013,23,PLAT:ALP:S05:WB,g1
A013,23,PLAT:ALP:S06:WB,g1
A013,24,SEC:ALP:S05_S06:WB,g1
A013,24,PLAT:ALP:S05:WB,g1
A013,24,PLAT:ALP:S06:WB,g1
A013,25,SEC:ALP:S05_S06:WB,g1
A013,25,PLAT:ALP:S05:WB,g1
A013,25,PLAT:ALP:S06:WB,g1
A013,26,SEC:ALP:S05_S06:WB,g1
A013,26,PLAT:ALP:S05:WB,g1
A013,26,PLAT:ALP:S06:WB,g1
A014,17,SEC:ALP:S07_S08:EB,g1
A014,17,PLAT:ALP:S07:EB,g1
A014,17,PLAT:ALP:S08:EB,g1
A014,18,SEC:ALP:S07_S08:EB,g1
A014,18,PLAT:ALP:S07:EB,g1
A014,18,PLAT:ALP:S08:EB,g1
A014,20,SEC:ALP:S07_S08:EB,g1
A014,20,PLAT:ALP:S07:EB,g1
A014,20,PLAT:ALP:S08:EB,g1
A014,22,SEC:ALP:S07_S08:EB,g1
A014,22,PLAT:ALP:S07:EB,g1
A014,22,PLAT:ALP:S08:EB,g1
A014,24,SEC:ALP:S07_S08:EB,g1
A014,24,PLAT:ALP:S07:EB,g1
A014,24,PLAT:ALP:S08:EB,g1
A014,25,SEC:ALP:S07_S08:EB,g1
A014,25,PLAT:ALP:S07:EB,g1
A014,25,PLAT:ALP:S08:EB,g1
A014,26,SEC:ALP:S07_S08:EB,g1
A014,26,PLAT:ALP:S07:EB,g1
A014,26,PLAT:ALP:S08:EB,g1
A017,17,SEC:BET:H01_H02:EB,g1
A017,17,SEC:BET:H02_S15:EB,g2
A017,17,SEC:BET:S15_S16:EB,g1
A017,17,PLAT:BET:H01:EB,g1
A017,17,PLAT:BET:H02:EB,g1
A017,17,PLAT:BET:S15:EB,g1
A017,17,PLAT:BET:S16:EB,g2
A017,20,SEC:BET:H01_H02:EB,g1
A017,20,SEC:BET:H02_S15:EB,g1
A017,20,SEC:BET:S15_S16:EB,g2
A017,20,PLAT:BET:H01:EB,g1
A017,20,PLAT:BET:H02:EB,g1
A017,20,PLAT:BET:S15:EB,g1
A017,20,PLAT:BET:S16:EB,g1
A017,21,SEC:BET:H01_H02:EB,g1
A017,21,SEC:BET:H02_S15:EB,g1
A017,21,SEC:BET:S15_S16:EB,g3
A017,21,PLAT:BET:H01:EB,g1
A017,21,PLAT:BET:H02:EB,g1
A017,21,PLAT:BET:S15:EB,g1
A017,21,PLAT:BET:S16:EB,g1
A017,22,SEC:BET:H01_H02:EB,g1
A017,22,SEC:BET:H02_S15:EB,g1
A017,22,SEC:BET:S15_S16:EB,g1
A017,22,PLAT:BET:H01:EB,g1
A017,22,PLAT:BET:H02:EB,g1
A017,22,PLAT:BET:S15:EB,g1
A017,22,PLAT:BET:S16:EB,g1
A017,23,SEC:BET:H01_H02:EB,g1
A017,23,SEC:BET:H02_S15:EB,g1
A017,23,SEC:BET:S15_S16:EB,g1
A017,23,PLAT:BET:H01:EB,g1
A017,23,PLAT:BET:H02:EB,g1
A017,23,PLAT:BET:S15:EB,g1
A017,23,PLAT:BET:S16:EB,g1
A017,24,SEC:BET:H01_H02:EB,g1
A017,24,SEC:BET:H02_S15:EB,g1
A017,24,SEC:BET:S15_S16:EB,g1
A017,24,PLAT:BET:H01:EB,g1
A017,24,PLAT:BET:H02:EB,g1
A017,24,PLAT:BET:S15:EB,g1
A017,24,PLAT:BET:S16:EB,g2
A017,26,SEC:BET:H01_H02:EB,g1
A017,26,SEC:BET:H02_S15:EB,g1
A017,26,SEC:BET:S15_S16:EB,g1
A017,26,PLAT:BET:H01:EB,g1
A017,26,PLAT:BET:H02:EB,g1
A017,26,PLAT:BET:S15:EB,g1
A017,26,PLAT:BET:S16:EB,g1
A019,19,SEC:BET:S16_S17:EB,g1
A019,19,PLAT:BET:S16:EB,g2
A019,19,PLAT:BET:S17:EB,g1
A019,21,SEC:BET:S16_S17:EB,g2
A019,21,PLAT:BET:S16:EB,g2
A019,21,PLAT:BET:S17:EB,g2
A020,16,SEC:ALP:S04_H01:WB,g1
A020,16,SEC:ALP:H01_H02:WB,g1
A020,16,SEC:ALP:H02_S05:WB,g1
A020,16,PLAT:ALP:S04:WB,g1
A020,16,PLAT:ALP:H01:WB,g1
A020,16,PLAT:ALP:H02:WB,g1
A020,16,PLAT:ALP:S05:WB,g1
A020,18,SEC:ALP:S04_H01:WB,g1
A020,18,SEC:ALP:H01_H02:WB,g1
A020,18,SEC:ALP:H02_S05:WB,g1
A020,18,PLAT:ALP:S04:WB,g2
A020,18,PLAT:ALP:H01:WB,g1
A020,18,PLAT:ALP:H02:WB,g1
A020,18,PLAT:ALP:S05:WB,g1
A021,12,SEC:BET:S11_S12:WB,g1
A021,12,SEC:BET:S12_S13:WB,g1
A021,12,PLAT:BET:S11:WB,g1
A021,12,PLAT:BET:S12:WB,g1
A021,12,PLAT:BET:S13:WB,g1
A021,17,SEC:BET:S11_S12:WB,g1
A021,17,SEC:BET:S12_S13:WB,g1
A021,17,PLAT:BET:S11:WB,g1
A021,17,PLAT:BET:S12:WB,g1
A021,17,PLAT:BET:S13:WB,g1
A021,23,SEC:BET:S11_S12:WB,g1
A021,23,SEC:BET:S12_S13:WB,g1
A021,23,PLAT:BET:S11:WB,g1
A021,23,PLAT:BET:S12:WB,g1
A021,23,PLAT:BET:S13:WB,g1
A023,21,SEC:ALP:S03_S04:WB,g2
A023,21,PLAT:ALP:S03:WB,g2
A023,21,PLAT:ALP:S04:WB,g2
A023,22,SEC:ALP:S03_S04:WB,g2
A023,22,PLAT:ALP:S03:WB,g1
A023,22,PLAT:ALP:S04:WB,g1
A023,23,SEC:ALP:S03_S04:WB,g1
A023,23,PLAT:ALP:S03:WB,g1
A023,23,PLAT:ALP:S04:WB,g1
A023,24,SEC:ALP:S03_S04:WB,g1
A023,24,PLAT:ALP:S03:WB,g1
A023,24,PLAT:ALP:S04:WB,g1
A023,25,SEC:ALP:S03_S04:WB,g1
A023,25,PLAT:ALP:S03:WB,g1
A023,25,PLAT:ALP:S04:WB,g1
A023,26,SEC:ALP:S03_S04:WB,g1
A023,26,PLAT:ALP:S03:WB,g1
A023,26,PLAT:ALP:S04:WB,g1
A023,27,SEC:ALP:S03_S04:WB,g1
A023,27,PLAT:ALP:S03:WB,g1
A023,27,PLAT:ALP:S04:WB,g1
A025,8,SEC:ALP:S01_S02:EB,g1
A025,8,SEC:ALP:S02_S03:EB,g1
A025,8,PLAT:ALP:S01:EB,g1
A025,8,PLAT:ALP:S02:EB,g1
A025,8,PLAT:ALP:S03:EB,g1
A025,9,SEC:ALP:S01_S02:EB,g1
A025,9,SEC:ALP:S02_S03:EB,g1
A025,9,PLAT:ALP:S01:EB,g1
A025,9,PLAT:ALP:S02:EB,g1
A025,9,PLAT:ALP:S03:EB,g1
A025,12,SEC:ALP:S01_S02:EB,g1
A025,12,SEC:ALP:S02_S03:EB,g1
A025,12,PLAT:ALP:S01:EB,g1
A025,12,PLAT:ALP:S02:EB,g1
A025,12,PLAT:ALP:S03:EB,g1
A025,18,SEC:ALP:S01_S02:EB,g1
A025,18,SEC:ALP:S02_S03:EB,g1
A025,18,PLAT:ALP:S01:EB,g1
A025,18,PLAT:ALP:S02:EB,g1
A025,18,PLAT:ALP:S03:EB,g1
A025,21,SEC:ALP:S01_S02:EB,g1
A025,21,SEC:ALP:S02_S03:EB,g1
A025,21,PLAT:ALP:S01:EB,g1
A025,21,PLAT:ALP:S02:EB,g1
A025,21,PLAT:ALP:S03:EB,g1
A025,23,SEC:ALP:S01_S02:EB,g1
A025,23,SEC:ALP:S02_S03:EB,g1
A025,23,PLAT:ALP:S01:EB,g1
A025,23,PLAT:ALP:S02:EB,g1
A025,23,PLAT:ALP:S03:EB,g1
A025,25,SEC:ALP:S01_S02:EB,g1
A025,25,SEC:ALP:S02_S03:EB,g1
A025,25,PLAT:ALP:S01:EB,g1
A025,25,PLAT:ALP:S02:EB,g1
A025,25,PLAT:ALP:S03:EB,g1
A028,9,SEC:ALP:S03_S04:EB,g1
A028,9,SEC:ALP:S04_H01:EB,g1
A028,9,PLAT:ALP:S03:EB,g2
A028,9,PLAT:ALP:S04:EB,g1
A028,9,PLAT:ALP:H01:EB,g1
A028,11,SEC:ALP:S03_S04:EB,g1
A028,11,SEC:ALP:S04_H01:EB,g1
A028,11,PLAT:ALP:S03:EB,g1
A028,11,PLAT:ALP:S04:EB,g1
A028,11,PLAT:ALP:H01:EB,g1
A031,7,SEC:ALP:S06_S07:WB,g1
A031,7,SEC:ALP:S07_S08:WB,g1
A031,7,PLAT:ALP:S06:WB,g1
A031,7,PLAT:ALP:S07:WB,g1
A031,7,PLAT:ALP:S08:WB,g1
A031,8,SEC:ALP:S06_S07:WB,g1
A031,8,SEC:ALP:S07_S08:WB,g1
A031,8,PLAT:ALP:S06:WB,g1
A031,8,PLAT:ALP:S07:WB,g1
A031,8,PLAT:ALP:S08:WB,g1
A035,7,SEC:ALP:S02_S03:WB,g1
A035,7,SEC:ALP:S03_S04:WB,g1
A035,7,PLAT:ALP:S02:WB,g1
A035,7,PLAT:ALP:S03:WB,g1
A035,7,PLAT:ALP:S04:WB,g1
A035,18,SEC:ALP:S02_S03:WB,g1
A035,18,SEC:ALP:S03_S04:WB,g1
A035,18,PLAT:ALP:S02:WB,g1
A035,18,PLAT:ALP:S03:WB,g1
A035,18,PLAT:ALP:S04:WB,g1
A035,22,SEC:ALP:S02_S03:WB,g1
A035,22,SEC:ALP:S03_S04:WB,g1
A035,22,PLAT:ALP:S02:WB,g1
A035,22,PLAT:ALP:S03:WB,g1
A035,22,PLAT:ALP:S04:WB,g1
A036,22,SEC:BET:S14_H01:EB,g1
A036,22,PLAT:BET:S14:EB,g1
A036,22,PLAT:BET:H01:EB,g1
A036,23,SEC:BET:S14_H01:EB,g1
A036,23,PLAT:BET:S14:EB,g1
A036,23,PLAT:BET:H01:EB,g1
A036,24,SEC:BET:S14_H01:EB,g1
A036,24,PLAT:BET:S14:EB,g1
A036,24,PLAT:BET:H01:EB,g1
A036,25,SEC:BET:S14_H01:EB,g1
A036,25,PLAT:BET:S14:EB,g1
A036,25,PLAT:BET:H01:EB,g1
A036,26,SEC:BET:S14_H01:EB,g1
