activity_id,week,location_id,co_share_group
A001,21,SEC:BET:S15_S16:EB,g4
A001,21,SEC:BET:S16_S17:EB,g1
A001,21,PLAT:BET:S15:EB,g1
A001,21,PLAT:BET:S16:EB,g2
A001,21,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g1
A001,23,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g1
A001,23,PLAT:BET:S16:EB,g2
A001,23,PLAT:BET:S17:EB,g1
A002,6,SEC:BET:S11_S12:WB,g1
A002,6,SEC:BET:S12_S13:WB,g1
A002,6,PLAT:BET:S11:WB,g1
A002,6,PLAT:BET:S12:WB,g1
A002,6,PLAT:BET:S13:WB,g1
A003,11,SEC:BET:H01_H02:EB,g1
A003,11,SEC:BET:H02_S15:EB,g1
A003,11,SEC:BET:S15_S16:EB,g1
A003,11,PLAT:BET:H01:EB,g1
A003,11,PLAT:BET:H02:EB,g1
A003,11,PLAT:BET:S15:EB,g2
A003,11,PLAT:BET:S16:EB,g1
A003,12,SEC:BET:H01_H02:EB,g1
A003,12,SEC:BET:H02_S15:EB,g1
A003,12,SEC:BET:S15_S16:EB,g1
A003,12,PLAT:BET:H01:EB,g1
A003,12,PLAT:BET:H02:EB,g1
A003,12,PLAT:BET:S15:EB,g1
A003,12,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g2
A003,14,SEC:BET:S15_S16:EB,g1
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g1
A003,14,PLAT:BET:S16:EB,g2
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g2
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g1
A003,15,PLAT:BET:S16:EB,g1
A003,17,SEC:BET:H01_H02:EB,g1
A003,17,SEC:BET:H02_S15:EB,g1
A003,17,SEC:BET:S15_S16:EB,g2
A003,17,PLAT:BET:H01:EB,g1
A003,17,PLAT:BET:H02:EB,g1
A003,17,PLAT:BET:S15:EB,g2
A003,17,PLAT:BET:S16:EB,g2
A004,18,SEC:ALP:S03_S04:EB,g1
A004,18,SEC:ALP:S04_H01:EB,g1
A004,18,PLAT:ALP:S03:EB,g1
A004,18,PLAT:ALP:S04:EB,g1
A004,18,PLAT:ALP:H01:EB,g1
A004,19,SEC:ALP:S03_S04:EB,g1
A004,19,SEC:ALP:S04_H01:EB,g1
A004,19,PLAT:ALP:S03:EB,g1
A004,19,PLAT:ALP:S04:EB,g1
A004,19,PLAT:ALP:H01:EB,g1
A004,20,SEC:ALP:S03_S04:EB,g1
A004,20,SEC:ALP:S04_H01:EB,g1
A004,20,PLAT:ALP:S03:EB,g1
A004,20,PLAT:ALP:S04:EB,g1
A004,20,PLAT:ALP:H01:EB,g1
A006,11,SEC:ALP:S03_S04:WB,g1
A006,11,SEC:ALP:S04_H01:WB,g1
A006,11,SEC:ALP:H01_H02:WB,g1
A006,11,PLAT:ALP:S03:WB,g1
A006,11,PLAT:ALP:S04:WB,g2
A006,11,PLAT:ALP:H01:WB,g1
A006,11,PLAT:ALP:H02:WB,g1
A006,17,SEC:ALP:S03_S04:WB,g1
A006,17,SEC:ALP:S04_H01:WB,g1
A006,17,SEC:ALP:H01_H02:WB,g1
A006,17,PLAT:ALP:S03:WB,g2
A006,17,PLAT:ALP:S04:WB,g2
A006,17,PLAT:ALP:H01:WB,g1
A006,17,PLAT:ALP:H02:WB,g1
A007,15,SEC:BET:H01_H02:EB,g1
A007,15,PLAT:BET:H01:EB,g1
A007,15,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,18,SEC:BET:H01_H02:EB,g1
A007,18,PLAT:BET:H01:EB,g1
A007,18,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,21,SEC:BET:H01_H02:EB,g1
A007,21,PLAT:BET:H01:EB,g1
A007,21,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A008,16,SEC:BET:S17_S18:EB,g1
A008,16,PLAT:BET:S17:EB,g1
A008,16,PLAT:BET:S18:EB,g1
A008,17,SEC:BET:S17_S18:EB,g1
A008,17,PLAT:BET:S17:EB,g2
A008,17,PLAT:BET:S18:EB,g1
A008,19,SEC:BET:S17_S18:EB,g1
A008,19,PLAT:BET:S17:EB,g2
A008,19,PLAT:BET:S18:EB,g1
A008,22,SEC:BET:S17_S18:EB,g1
A008,22,PLAT:BET:S17:EB,g2
A008,22,PLAT:BET:S18:EB,g1
A008,25,SEC:BET:S17_S18:EB,g1
A008,25,PLAT:BET:S17:EB,g2
A008,25,PLAT:BET:S18:EB,g1
A009,2,SEC:ALP:S05_S06:EB,g1
A009,2,PLAT:ALP:S05:EB,g1
A009,2,PLAT:ALP:S06:EB,g1
A009,4,SEC:ALP:S05_S06:EB,g1
A009,4,PLAT:ALP:S05:EB,g1
