activity_id,week,location_id,co_share_group
A001,22,SEC:BET:S15_S16:EB,g2
A001,22,SEC:BET:S16_S17:EB,g1
A001,22,PLAT:BET:S15:EB,g1
A001,22,PLAT:BET:S16:EB,g1
A001,22,PLAT:BET:S17:EB,g1
A001,23,SEC:BET:S15_S16:EB,g3
A001,23,SEC:BET:S16_S17:EB,g1
A001,23,PLAT:BET:S15:EB,g2
A001,23,PLAT:BET:S16:EB,g2
A001,23,PLAT:BET:S17:EB,g2
A002,3,SEC:BET:S11_S12:WB,g1
A002,3,SEC:BET:S12_S13:WB,g1
A002,3,PLAT:BET:S11:WB,g1
A002,3,PLAT:BET:S12:WB,g1
A002,3,PLAT:BET:S13:WB,g1
A003,13,SEC:BET:H01_H02:EB,g1
A003,13,SEC:BET:H02_S15:EB,g1
A003,13,SEC:BET:S15_S16:EB,g1
A003,13,PLAT:BET:H01:EB,g1
A003,13,PLAT:BET:H02:EB,g1
A003,13,PLAT:BET:S15:EB,g2
A003,13,PLAT:BET:S16:EB,g1
A003,14,SEC:BET:H01_H02:EB,g1
A003,14,SEC:BET:H02_S15:EB,g2
A003,14,SEC:BET:S15_S16:EB,g2
A003,14,PLAT:BET:H01:EB,g1
A003,14,PLAT:BET:H02:EB,g1
A003,14,PLAT:BET:S15:EB,g2
A003,14,PLAT:BET:S16:EB,g1
A003,15,SEC:BET:H01_H02:EB,g1
A003,15,SEC:BET:H02_S15:EB,g1
A003,15,SEC:BET:S15_S16:EB,g1
A003,15,PLAT:BET:H01:EB,g1
A003,15,PLAT:BET:H02:EB,g1
A003,15,PLAT:BET:S15:EB,g2
A003,15,PLAT:BET:S16:EB,g1
A003,17,SEC:BET:H01_H02:EB,g1
A003,17,SEC:BET:H02_S15:EB,g1
A003,17,SEC:BET:S15_S16:EB,g2
A003,17,PLAT:BET:H01:EB,g1
A003,17,PLAT:BET:H02:EB,g1
A003,17,PLAT:BET:S15:EB,g1
A003,17,PLAT:BET:S16:EB,g1
A003,20,SEC:BET:H01_H02:EB,g1
A003,20,SEC:BET:H02_S15:EB,g1
A003,20,SEC:BET:S15_S16:EB,g2
A003,20,PLAT:BET:H01:EB,g1
A003,20,PLAT:BET:H02:EB,g1
A003,20,PLAT:BET:S15:EB,g2
A003,20,PLAT:BET:S16:EB,g2
A004,21,SEC:ALP:S03_S04:EB,g1
A004,21,SEC:ALP:S04_H01:EB,g2
A004,21,PLAT:ALP:S03:EB,g1
A004,21,PLAT:ALP:S04:EB,g1
A004,21,PLAT:ALP:H01:EB,g1
A004,22,SEC:ALP:S03_S04:EB,g1
A004,22,SEC:ALP:S04_H01:EB,g1
A004,22,PLAT:ALP:S03:EB,g1
A004,22,PLAT:ALP:S04:EB,g1
A004,22,PLAT:ALP:H01:EB,g1
A004,23,SEC:ALP:S03_S04:EB,g1
A004,23,SEC:ALP:S04_H01:EB,g1
A004,23,PLAT:ALP:S03:EB,g1
A004,23,PLAT:ALP:S04:EB,g1
A004,23,PLAT:ALP:H01:EB,g1
A006,18,SEC:ALP:S03_S04:WB,g1
A006,18,SEC:ALP:S04_H01:WB,g1
A006,18,SEC:ALP:H01_H02:WB,g1
A006,18,PLAT:ALP:S03:WB,g1
A006,18,PLAT:ALP:S04:WB,g2
A006,18,PLAT:ALP:H01:WB,g1
A006,18,PLAT:ALP:H02:WB,g1
A006,22,SEC:ALP:S03_S04:WB,g1
A006,22,SEC:ALP:S04_H01:WB,g1
A006,22,SEC:ALP:H01_H02:WB,g1
A006,22,PLAT:ALP:S03:WB,g2
A006,22,PLAT:ALP:S04:WB,g1
A006,22,PLAT:ALP:H01:WB,g1
A006,22,PLAT:ALP:H02:WB,g1
A007,15,SEC:BET:H01_H02:EB,g1
A007,15,PLAT:BET:H01:EB,g1
A007,15,PLAT:BET:H02:EB,g1
A007,16,SEC:BET:H01_H02:EB,g1
A007,16,PLAT:BET:H01:EB,g1
A007,16,PLAT:BET:H02:EB,g1
A007,17,SEC:BET:H01_H02:EB,g1
A007,17,PLAT:BET:H01:EB,g1
A007,17,PLAT:BET:H02:EB,g1
A007,19,SEC:BET:H01_H02:EB,g1
A007,19,PLAT:BET:H01:EB,g1
A007,19,PLAT:BET:H02:EB,g1
A007,20,SEC:BET:H01_H02:EB,g1
A007,20,PLAT:BET:H01:EB,g1
A007,20,PLAT:BET:H02:EB,g1
A007,22,SEC:BET:H01_H02:EB,g1
A007,22,PLAT:BET:H01:EB,g1
A007,22,PLAT:BET:H02:EB,g1
A007,23,SEC:BET:H01_H02:EB,g1
A007,23,PLAT:BET:H01:EB,g1
A007,23,PLAT:BET:H02:EB,g1
A008,16,SEC:BET:S17_S18:EB,g1
A008,16,PLAT:BET:S17:EB,g2
A008,16,PLAT:BET:S18:EB,g1
A008,19,SEC:BET:S17_S18:EB,g1
A008,19,PLAT:BET:S17:EB,g1
A008,19,PLAT:BET:S18:EB,g1
A008,20,SEC:BET:S17_S18:EB,g1
A008,20,PLAT:BET:S17:EB,g1
A008,20,PLAT:BET:S18:EB,g1
A008,22,SEC:BET:S17_S18:EB,g1
A008,22,PLAT:BET:S17:EB,g2
A008,22,PLAT:BET:S18:EB,g1
A008,26,SEC:BET:S17_S18:EB,g1
A008,26,PLAT:BET:S17:EB,g2
A008,26,PLAT:BET:S18:EB,g1
A009,4,SEC:ALP:S05_S06:EB,g1
A009,4,PLAT:ALP:S05:EB,g1
A009,4,PLAT:ALP:S06:EB,g1
A009,7,SEC:ALP:S05_S06:EB,g1
A009,7,PLAT:ALP:S05:EB,g1
A009,7,PLAT:ALP:S06:EB,g1
A009,10,SEC:ALP:S05_S06:EB,g1
A009,10,PLAT:ALP:S05:EB,g1
A009,10,PLAT:ALP:S06:EB,g1
A009,12,SEC:ALP:S05_S06:EB,g1
A009,12,PLAT:ALP:S05:EB,g1
A009,12,PLAT:ALP:S06:EB,g1
A009,17,SEC:ALP:S05_S06:EB,g1
A009,17,PLAT:ALP:S05:EB,g1
A009,17,PLAT:ALP:S06:EB,g1
A009,19,SEC:ALP:S05_S06:EB,g1
A009,19,PLAT:ALP:S05:EB,g1
A009,19,PLAT:ALP:S06:EB,g1
A009,26,SEC:ALP:S05_S06:EB,g1
A009,26,PLAT:ALP:S05:EB,g1
A009,26,PLAT:ALP:S06:EB,g1
A011,16,SEC:BET:S15_S16:EB,g2
A011,16,SEC:BET:S16_S17:EB,g1
A011,16,PLAT:BET:S15:EB,g2
A011,16,PLAT:BET:S16:EB,g2
A011,16,PLAT:BET:S17:EB,g1
A011,21,SEC:BET:S15_S16:EB,g2
A011,21,SEC:BET:S16_S17:EB,g1
A011,21,PLAT:BET:S15:EB,g2
A011,21,PLAT:BET:S16:EB,g2
A011,21,PLAT:BET:S17:EB,g1
A012,3,SEC:BET:H01_H02:WB,g1
A012,3,SEC:BET:H02_S15:WB,g1
A012,3,PLAT:BET:H01:WB,g1
A012,3,PLAT:BET:H02:WB,g1
A012,3,PLAT:BET:S15:WB,g1
A012,4,SEC:BET:H01_H02:WB,g1
A012,4,SEC:BET:H02_S15:WB,g1
A012,4,PLAT:BET:H01:WB,g1
A012,4,PLAT:BET:H02:WB,g1
A012,4,PLAT:BET:S15:WB,g1
A012,6,SEC:BET:H01_H02:WB,g1
A012,6,SEC:BET:H02_S15:WB,g1
A012,6,PLAT:BET:H01:WB,g1
A012,6,PLAT:BET:H02:WB,g1
A012,6,PLAT:BET:S15:WB,g1
A012,7,SEC:BET:H01_H02:WB,g1
A012,7,SEC:BET:H02_S15:WB,g1
A012,7,PLAT:BET:H01:WB,g1
A012,7,PLAT:BET:H02:WB,g1
A012,7,PLAT:BET:S15:WB,g1
A012,10,SEC:BET:H01_H02:WB,g1
A012,10,SEC:BET:H02_S15:WB,g1
A012,10,PLAT:BET:H01:WB,g1
A012,10,PLAT:BET:H02:WB,g1
A012,10,PLAT:BET:S15:WB,g1
A012,11,SEC:BET:H01_H02:WB,g1
A012,11,SEC:BET:H02_S15:WB,g1
A012,11,PLAT:BET:H01:WB,g1
A012,11,PLAT:BET:H02:WB,g1
A012,11,PLAT:BET:S15:WB,g1
A012,15,SEC:BET:H01_H02:WB,g1
A012,15,SEC:BET:H02_S15:WB,g1
A012,15,PLAT:BET:H01:WB,g1
A012,15,PLAT:BET:H02:WB,g1
A012,15,PLAT:BET:S15:WB,g1
A013,21,SEC:ALP:S05_S06:WB,g1
A013,21,PLAT:ALP:S05:WB,g1
A013,21,PLAT:ALP:S06:WB,g1
A013,22,SEC:ALP:S05_S06:WB,g1
A013,22,PLAT:ALP:S05:WB,g1
A013,22,PLAT:ALP:S06:WB,g1
A013,24,SEC:ALP:S05_S06:WB,g1
A013,24,PLAT:ALP:S05:WB,g1
A013,24,PLAT:ALP:S06:WB,g1
A013,25,SEC:ALP:S05_S06:WB,g1
A013,25,PLAT:ALP:S05:WB,g2
A013,25,PLAT:ALP:S06:WB,g2
A013,26,SEC:ALP:S05_S06:WB,g1
A013,26,PLAT:ALP:S05:WB,g1
A013,26,PLAT:ALP:S06:WB,g1
A014,13,SEC:ALP:S07_S08:EB,g1
A014,13,PLAT:ALP:S07:EB,g1
A014,13,PLAT:ALP:S08:EB,g1
A014,14,SEC:ALP:S07_S08:EB,g1
A014,14,PLAT:ALP:S07:EB,g1
A014,14,PLAT:ALP:S08:EB,g1
A014,15,SEC:ALP:S07_S08:EB,g1
A014,15,PLAT:ALP:S07:EB,g1
A014,15,PLAT:ALP:S08:EB,g1
A014,16,SEC:ALP:S07_S08:EB,g1
A014,16,PLAT:ALP:S07:EB,g1
A014,16,PLAT:ALP:S08:EB,g1
A014,19,SEC:ALP:S07_S08:EB,g1
A014,19,PLAT:ALP:S07:EB,g1
A014,19,PLAT:ALP:S08:EB,g1
A014,20,SEC:ALP:S07_S08:EB,g1
A014,20,PLAT:ALP:S07:EB,g1
A014,20,PLAT:ALP:S08:EB,g1
A014,22,SEC:ALP:S07_S08:EB,g1
A014,22,PLAT:ALP:S07:EB,g1
A014,22,PLAT:ALP:S08:EB,g1
A017,17,SEC:BET:H01_H02:EB,g1
A017,17,SEC:BET:H02_S15:EB,g2
A017,17,SEC:BET:S15_S16:EB,g4
A017,17,PLAT:BET:H01:EB,g1
A017,17,PLAT:BET:H02:EB,g1
A017,17,PLAT:BET:S15:EB,g1
A017,17,PLAT:BET:S16:EB,g1
A017,19,SEC:BET:H01_H02:EB,g1
A017,19,SEC:BET:H02_S15:EB,g2
A017,19,SEC:BET:S15_S16:EB,g2
A017,19,PLAT:BET:H01:EB,g1
A017,19,PLAT:BET:H02:EB,g1
A017,19,PLAT:BET:S15:EB,g1
A017,19,PLAT:BET:S16:EB,g2
A017,20,SEC:BET:H01_H02:EB,g1
A017,20,SEC:BET:H02_S15:EB,g1
A017,20,SEC:BET:S15_S16:EB,g4
A017,20,PLAT:BET:H01:EB,g1
A017,20,PLAT:BET:H02:EB,g1
A017,20,PLAT:BET:S15:EB,g1
A017,20,PLAT:BET:S16:EB,g1
A017,21,SEC:BET:H01_H02:EB,g1
A017,21,SEC:BET:H02_S15:EB,g1
A017,21,SEC:BET:S15_S16:EB,g1
A017,21,PLAT:BET:H01:EB,g1
A017,21,PLAT:BET:H02:EB,g1
A017,21,PLAT:BET:S15:EB,g1
A017,21,PLAT:BET:S16:EB,g1
A017,23,SEC:BET:H01_H02:EB,g1
A017,23,SEC:BET:H02_S15:EB,g1
A017,23,SEC:BET:S15_S16:EB,g2
A017,23,PLAT:BET:H01:EB,g1
A017,23,PLAT:BET:H02:EB,g1
A017,23,PLAT:BET:S15:EB,g1
A017,23,PLAT:BET:S16:EB,g1
A017,25,SEC:BET:H01_H02:EB,g1
A017,25,SEC:BET:H02_S15:EB,g1
A017,25,SEC:BET:S15_S16:EB,g2
A017,25,PLAT:BET:H01:EB,g1
A017,25,PLAT:BET:H02:EB,g1
A017,25,PLAT:BET:S15:EB,g2
A017,25,PLAT:BET:S16:EB,g2
A017,26,SEC:BET:H01_H02:EB,g1
A017,26,SEC:BET:H02_S15:EB,g1
A017,26,SEC:BET:S15_S16:EB,g1
A017,26,PLAT:BET:H01:EB,g1
A017,26,PLAT:BET:H02:EB,g1
A017,26,PLAT:BET:S15:EB,g2
A017,26,PLAT:BET:S16:EB,g2
A019,20,SEC:BET:S16_S17:EB,g1
A019,20,PLAT:BET:S16:EB,g2
A019,20,PLAT:BET:S17:EB,g1
A019,25,SEC:BET:S16_S17:EB,g2
A019,25,PLAT:BET:S16:EB,g1
A019,25,PLAT:BET:S17:EB,g1
A020,13,SEC:ALP:S04_H01:WB,g1
A020,13,SEC:ALP:H01_H02:WB,g1
A020,13,SEC:ALP:H02_S05:WB,g1
A020,13,PLAT:ALP:S04:WB,g2
A020,13,PLAT:ALP:H01:WB,g1
A020,13,PLAT:ALP:H02:WB,g1
A020,13,PLAT:ALP:S05:WB,g1
A020,19,SEC:ALP:S04_H01:WB,g1
A020,19,SEC:ALP:H01_H02:WB,g1
A020,19,SEC:ALP:H02_S05:WB,g1
A020,19,PLAT:ALP:S04:WB,g1
A020,19,PLAT:ALP:H01:WB,g1
A020,19,PLAT:ALP:H02:WB,g1
A020,19,PLAT:ALP:S05:WB,g1
A021,12,SEC:BET:S11_S12:WB,g1
A021,12,SEC:BET:S12_S13:WB,g1
A021,12,PLAT:BET:S11:WB,g1
A021,12,PLAT:BET:S12:WB,g1
A021,12,PLAT:BET:S13:WB,g1
A021,19,SEC:BET:S11_S12:WB,g1
A021,19,SEC:BET:S12_S13:WB,g1
A021,19,PLAT:BET:S11:WB,g1
A021,19,PLAT:BET:S12:WB,g1
A021,19,PLAT:BET:S13:WB,g1
A021,20,SEC:BET:S11_S12:WB,g1
A021,20,SEC:BET:S12_S13:WB,g1
A021,20,PLAT:BET:S11:WB,g1
A021,20,PLAT:BET:S12:WB,g1
A021,20,PLAT:BET:S13:WB,g1
A023,21,SEC:ALP:S03_S04:WB,g1
A023,21,PLAT:ALP:S03:WB,g1
A023,21,PLAT:ALP:S04:WB,g1
A023,22,SEC:ALP:S03_S04:WB,g2
A023,22,PLAT:ALP:S03:WB,g1
A023,22,PLAT:ALP:S04:WB,g2
A023,23,SEC:ALP:S03_S04:WB,g1
A023,23,PLAT:ALP:S03:WB,g1
A023,23,PLAT:ALP:S04:WB,g1
A023,24,SEC:ALP:S03_S04:WB,g1
A023,24,PLAT:ALP:S03:WB,g1
A023,24,PLAT:ALP:S04:WB,g2
A023,26,SEC:ALP:S03_S04:WB,g1
A023,26,PLAT:ALP:S03:WB,g1
A023,26,PLAT:ALP:S04:WB,g1
